Statecode,Statename,TotalPop,supportRPS_PredPop,supportRPS,supportRPSOppose_PredPop,supportRPSOppose,fundrenewables_PredPop,fundrenewables,fundrenewablesOppose_PredPop,fundrenewablesOppose,futuregen_PredPop,futuregen,futuregenOppose_PredPop,futuregenOppose
AK,Alaska,447543,231533,52,209611,47,340502,76,103875,23,245072,55,146537,33
AL,Alabama,3166424,1729461,55,1404350,44,2309285,73,836219,26,1693632,53,949324,30
AR,Arkansas,1921039,1084748,56,816588,43,1403990,73,492998,26,1058621,55,568292,30
AZ,Arizona,4149955,2549023,61,1561281,38,3138582,76,936419,23,2512113,61,1071469,26
CA,California,24117317,15895453,66,7678247,32,19004090,79,4613049,19,16880034,70,4528428,19
CO,Colorado,3328869,2090936,63,1220775,37,2605766,78,660021,20,2124109,64,805908,24
CT,Connecticut,2431340,1618176,67,793945,33,1931512,79,470722,19,1626190,67,525690,22
DC,District of Columbia,417432,309241,74,102806,25,357792,86,47542,11,334035,80,41147,10
DE,Delaware,603331,377433,63,220801,37,477262,79,123211,20,393878,65,129030,21
FL,Florida,13127624,8075554,62,4889921,37,10056304,77,2984063,23,8120955,62,3121361,24
GA,Georgia,6242508,3717405,60,2438949,39,4696171,75,1433787,23,3663372,59,1518639,24
HI,Hawaii,928132,625537,67,280763,30,766621,83,141663,15,696964,75,152360,16
IA,Iowa,2013629,1263077,63,726165,36,1577971,78,378819,19,1266192,63,536332,27
ID,Idaho,986172,567998,58,405074,41,734380,74,218090,22,528940,54,307673,31
IL,Illinois,8459947,5329956,63,2976023,35,6800610,80,1459646,17,5508685,65,1763746,21
IN,Indiana,4229138,2350484,56,1840385,44,3219027,76,995672,24,2403652,57,1204441,28
KS,Kansas,1838079,1098135,60,716021,39,1392443,76,395731,22,1061124,58,558644,30
KY,Kentucky,2902296,1608284,55,1276741,44,2167577,75,756607,26,1593752,55,912916,31
LA,Louisiana,2940298,1561571,53,1361506,46,2149159,73,802287,27,1585424,54,868290,30
MA,Massachusetts,4465898,3035801,68,1412891,32,3587885,80,840357,19,3075253,69,952433,21
MD,Maryland,3875282,2493431,64,1316470,34,3100317,80,655544,17,2564690,66,735744,19
ME,Maine,938624,609514,65,330883,35,733136,78,210726,22,613508,65,237207,25
MI,Michigan,6578519,3974443,60,2509462,38,5145332,78,1319552,20,4051377,62,1587619,24
MN,Minnesota,3525850,2238500,63,1258711,36,2774371,79,670232,19,2269352,64,930078,26
MO,Missouri,3973614,2464509,62,1457887,37,3038722,76,815249,21,2429291,61,1071432,27
MS,Mississippi,1904849,1109523,58,761102,40,1413807,74,453196,24,1073257,56,486564,26
MT,Montana,671337,381129,57,285449,43,522464,78,133180,20,383635,57,196812,29
NC,North Carolina,6324119,3795747,60,2454667,39,4820334,76,1433853,23,3791595,60,1552722,25
ND,North Dakota,442789,235738,53,204969,46,342103,77,95185,21,244110,55,152202,34
NE,Nebraska,1184668,712610,60,455354,38,900440,76,249011,21,684280,58,360086,30
NH,New Hampshire,907338,577928,64,325070,36,708084,78,190327,21,569297,63,237944,26
NJ,New Jersey,5969516,3844864,64,2012576,34,4711738,79,1217599,20,3983109,67,1216508,20
NM,New Mexico,1333926,808050,61,515290,39,1038639,78,290570,22,865220,65,298439,22
NV,Nevada,1791029,1111837,62,656029,37,1389733,78,359315,20,1139900,64,405108,23
NY,New York,13101982,8720459,67,4083750,31,10517026,80,2229615,17,9076595,69,2351582,18
OH,Ohio,7715893,4497881,58,3122103,40,5939033,77,1707072,22,4523520,59,2059890,27
OK,Oklahoma,2438321,1345076,55,1083824,44,1777437,73,693600,28,1319431,54,800839,33
OR,Oregon,2612044,1683365,64,887823,34,2050001,78,508733,19,1745826,67,600658,23
PA,Pennsylvania,8658872,5201714,60,3335086,39,6650918,77,1972701,23,5381439,62,2156239,25
RI,Rhode Island,709683,476380,67,229488,32,563590,79,142817,20,483011,68,152572,21
SC,South Carolina,3075655,1757588,57,1267384,41,2322458,76,701841,23,1719701,56,803083,26
SD,South Dakota,531773,328106,62,194590,37,406124,76,102435,19,315564,59,154155,29
TN,Tennessee,4250890,2477372,58,1728503,41,3147134,74,1066780,25,2407798,57,1207204,28
TX,Texas,15765048,9487720,60,6096083,39,11869047,75,3984179,25,9591063,61,3947452,25
UT,Utah,1578143,897410,57,669321,42,1174475,74,371378,24,847589,54,510538,32
VA,Virginia,5356571,3274668,61,1998738,37,4205346,79,1043796,19,3286784,61,1246895,23
VT,Vermont,431581,294018,68,137028,32,349246,81,78802,18,301484,70,92466,21
WA,Washington,4507469,2913692,65,1524865,34,3565977,79,879558,20,3045914,68,1014955,23
WI,Wisconsin,3800291,2276598,60,1470923,39,3003216,79,748355,20,2318799,61,962280,25
WV,West Virginia,1292274,638799,49,650218,50,965057,75,341543,26,658977,51,440234,34
WY,Wyoming,371096,177995,48,192801,52,274801,74,93730,25,177146,48,140487,38
