state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands	Public Supply population served by groundwater, in thousands	Public Supply population served by surface water, in thousands	Public Supply total population served, in thousands	Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d	Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, groundwater, in Mgal/d	Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d	Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, surface water, in Mgal/d	Public Supply total self-supplied withdrawals, fresh, in Mgal/d	Public Supply total self-supplied withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, total, in Mgal/d	Public Supply deliveries to domestic, in Mgal/d	Public Supply deliveries to commercial, in Mgal/d	Public Supply deliveries to industrial, in Mgal/d	Public Supply deliveries to thermoelectric, in Mgal/d	Public Supply total deliveries, in Mgal/d	Public Supply public use and losses, in Mgal/d	Public Supply per capita use, in gallons/person/day	Public Supply reclaimed wastewater, in Mgal/d	Public Supply number of facilities	Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d	Commercial self-supplied groundwater withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, groundwater, in Mgal/d	Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d	Commercial self-supplied surface-water withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, surface water, in Mgal/d	Commercial total self-supplied withdrawals, fresh, in Mgal/d	Commercial total self-supplied withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, in Mgal/d	Commercial deliveries from public supply, in Mgal/d	Commercial total self-supplied withdrawals plus deliveries, in Mgal/d	Commercial consumptive use, fresh, in Mgal/d	Commercial consumptive use, saline, in Mgal/d	Commercial total consumptive use, in Mgal/d	Commercial reclaimed wastewater, in Mgal/d	Domestic self-supplied population, in thousands	Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d	Domestic self-supplied groundwater withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, groundwater, in Mgal/d	Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d	Domestic self-supplied surface-water withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, surface water, in Mgal/d	Domestic total self-supplied withdrawals, fresh, in Mgal/d	Domestic total self-supplied withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, in Mgal/d	Domestic per capita use, self-supplied, in gallons/person/day	Domestic deliveries from public supply, in Mgal/d	Domestic per capita use, public-supplied, in gallons/person/day	Domestic total self-supplied withdrawals plus deliveries, in Mgal/d	Domestic consumptive use, fresh, in Mgal/d	Domestic consumptive use, saline, in Mgal/d	Domestic total consumptive use, in Mgal/d	Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d	Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d	Livestock total self-supplied withdrawals, fresh, in Mgal/d	Livestock consumptive use, fresh, in Mgal/d	Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d	Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d	Irrigation, Total consumptive use, fresh, in Mgal/d	Irrigation, Total sprinkler irrigation, in thousand acres	Irrigation, Total microirrigation, in thousand acres	Irrigation, Total surface irrigation, in thousand acres	Irrigation, Total total irrigation, in thousand acres	Irrigation, Total reclaimed wastewater, in Mgal/d	Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop consumptive use for crops, fresh, in Mgal/d	Irrigation, Crop sprinkler irrigation for crops, in thousand acres	Irrigation, Crop microirrigation for crops, in thousand acres	Irrigation, Crop surface irrigation for crops, in thousand acres	Irrigation, Crop total irrigation for crops, in thousand acres	Irrigation, Crop reclaimed wastewater for crops, in Mgal/d	Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses sprinkler irrigation for golf courses, in thousand acres	Irrigation, Golf Courses microirrigation for golf courses, in thousand acres	Irrigation, Golf Courses surface irrigation for golf courses, in thousand acres	Irrigation, Golf Courses total irrigation for golf courses, in thousand acres	Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d
06	California	001	Alameda County	1985	1195.160	185.950	967.160	1153.110	31.58	-	-	163.52	-	-	195.10	-	-	119.01	44.87	6.24	0.00	170.12	-	-	-	-	1.09	-	-	0.10	-	-	1.19	-	-	44.87	-	11.67	-	-	-	42.050	2.90	-	-	0.25	-	-	3.15	-	-	75	119.010	103	122.16	31.76	-	-	-	-	-	-	7.83	15.61	16.11	3.29	-	9.01	-	0.33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	001	Alameda County	1990	1279.180	109.370	1142.440	1251.810	23.83	-	-	197.54	-	-	221.37	-	-	141.39	29.18	22.79	0.00	193.36	-	-	-	13	0.00	-	-	0.00	-	-	0.00	-	-	29.18	-	1.32	-	-	-	27.370	0.18	-	-	1.87	-	-	2.05	-	-	75	141.390	113	143.44	37.44	-	-	-	-	-	-	13.02	0.54	9.81	4.62	-	1.89	-	2.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	001	Alameda County	1995	1347.700	165.830	1162.820	1328.650	31.05	0.00	31.05	183.51	0.00	183.51	214.56	0.00	214.56	142.02	31.10	21.82	0.00	194.94	19.62	161.00	2.98	8	0.18	0.00	0.18	0.00	0.00	0.00	0.18	0.00	0.18	31.10	31.28	8.09	0.00	8.09	1.81	19.050	1.29	0.00	1.29	0.14	0.00	0.14	1.43	0.00	1.43	75	142.020	107	143.45	37.30	0.00	37.30	-	-	-	-	4.75	8.41	12.23	0.70	0.93	3.87	5.50	0.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	001	Alameda County	2000	1443.740	152.460	1114.420	1266.880	26.70	-	-	193.70	-	-	220.40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	176.860	11.94	-	-	1.33	-	-	13.27	-	-	75	-	-	-	-	-	-	0.39	0.49	0.88	-	7.73	12.22	-	2.50	5.40	2.10	10.00	-	6.50	11.50	18.00	-	0.00	5.40	2.10	7.50	-	1.23	0.72	1.95	-	2.50	0.00	0.00	2.50	-
06	California	001	Alameda County	2005	1448.905	477.712	955.782	1433.494	52.19	0.00	52.19	104.42	0.00	104.42	156.61	0.00	156.61	73.34	-	-	-	-	-	109.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.411	2.67	-	-	0.83	-	-	3.50	-	-	227	73.340	51	76.84	-	-	-	0.14	0.18	0.32	-	4.76	1.84	-	0.00	3.79	1.46	5.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	001	Alameda County	2010	1510.271	0.780	1447.920	1448.700	19.01	3.42	22.43	193.07	0.00	193.07	212.08	3.42	215.50	124.40	-	19.77	-	-	-	149.00	13.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61.571	3.30	-	-	1.32	-	-	4.62	-	-	75	124.400	86	129.02	-	-	-	0.12	0.15	0.27	-	13.05	5.22	-	2.11	6.78	2.61	11.50	-	12.17	4.70	16.87	14.71	0.00	6.78	2.61	9.39	-	0.88	0.52	1.40	-	2.11	0.00	0.00	2.11	1.41
06	California	003	Alpine County	1985	1.200	0.430	0.550	0.980	0.07	-	-	0.09	-	-	0.16	-	-	0.10	0.04	0.00	0.00	0.14	-	-	-	-	0.00	-	-	0.00	-	-	0.00	-	-	0.04	-	0.01	-	-	-	0.220	0.01	-	-	0.01	-	-	0.02	-	-	91	0.100	102	0.12	0.03	-	-	-	-	-	-	9.49	16.22	12.85	1.39	-	4.61	-	4.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	003	Alpine County	1990	1.110	0.350	0.250	0.600	0.09	-	-	0.06	-	-	0.15	-	-	0.10	0.02	0.00	0.00	0.12	-	-	-	5	0.00	-	-	0.00	-	-	0.00	-	-	0.02	-	0.00	-	-	-	0.510	0.02	-	-	0.02	-	-	0.04	-	-	78	0.100	167	0.14	0.04	-	-	-	-	-	-	18.05	8.89	13.47	0.00	-	6.30	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	003	Alpine County	1995	1.170	0.280	0.620	0.900	0.05	0.00	0.05	0.06	0.00	0.06	0.11	0.00	0.11	0.10	0.01	0.00	0.00	0.11	0.00	122.00	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.270	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02	74	0.100	111	0.12	0.04	0.00	0.04	-	-	-	-	5.42	18.11	23.52	0.59	0.00	5.71	6.30	1.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	003	Alpine County	2000	1.210	0.150	0.450	0.600	0.06	-	-	0.06	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.610	0.04	-	-	0.00	-	-	0.04	-	-	66	-	-	-	-	-	-	0.03	0.04	0.07	-	3.40	11.50	-	0.40	0.00	3.60	4.00	-	3.40	11.50	14.90	-	0.40	0.00	3.60	4.00	-	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	-
